"(7, 1, 15, 0)","{1: 0.40951000000000004, 0: 0.7212088679053511}"
"(7, 1, 15, -8.0)","{1: 0.63996694058401, 0: 0.12143958291}"
"(6, 1, 15, -7.0)","{0: 0.23851, 1: 0.2629}"
"(6, 1, 15, -8.0)","{1: 0.4352790137200444, 0: 0.65885101584139}"
"(6, 1, 14, -7.0)","{1: 0.09, 0: 0.1}"
"(5, 1, 14, -6.0)","{0: 0.271, 1: 0.1}"
"(5, 1, 14, -8.0)","{1: 0.6310182525851976, 0: 0.14304672100000002}"
"(5, 1, 14, -7.0)","{1: 0.24661, 0: 0.40951000000000004}"
"(5, 1, 13, -6.0)","{1: 0.40951000000000004, 0: 0.19}"
"(4, 1, 13, -5.0)",{1: 0.271}
"(4, 1, 13, -4.0)","{1: 0.19, 0: 0.1}"
"(4, 1, 13, -3.0)",{1: 0.1}
"(4, 1, 12, -2.0)",{0: 0.2439}
"(4, 1, 12, -8.0)","{1: 0.44614040391000004, 0: 0.6929659142572511}"
"(4, 1, 12, -7.0)","{0: 0.17099999999999999, 1: 0.09}"
"(3, 1, 12, -8.0)","{1: 0.5217031000000001, 0: 0.51048379}"
"(3, 1, 11, -8.0)","{0: 0.584245302895351, 1: 0.6549771777922899}"
"(3, 1, 11, 0.0)","{0: 0.40951000000000004, 1: 0.40951000000000004}"
"(2, 1, 11, -8.0)","{0: 0.271, 1: 0.1}"
"(2, 1, 10, -8.0)","{1: 0.661553881114816, 0: 0.6678988521571001}"
"(2, 1, 10, -7.0)","{1: 0.19, 0: 0.19}"
"(2, 1, 10, -6.0)","{1: 0.1, 0: 0.1}"
"(1, 1, 10, -5.0)",{1: 0.1}
"(1, 1, 9, -4.0)",{0: 0.1}
"(1, 1, 9, -8.0)","{1: 0.40951000000000004, 0: 0.46855900000000006}"
"(1, 1, 9, -7.0)","{1: 0.19, 0: 0.1}"
"(0, 1, 9, -6.0)",{1: 0.1}
"(0, 1, 8, -5.0)",{1: 0.1}
"(0, 1, 8, -4.0)",{1: 0.1}
"(0, 1, 8, -3.0)",{1: 0.1}
"(0, 1, 8, -2.0)",{1: 0.1}
"(0, 1, 7, -1.0)",{1: 0.1}
"(0, 1, 7, 0.0)","{0: 0.2439, 1: 0.1}"
"(0, 1, 7, -8.0)","{1: 0.46855900000000006, 0: 0.07158124000000002}"
"(7, 3, 15, -8.0)","{0: 0.48853279, 1: 0.7011089669413901}"
"(7, 3, 15, 0.0)","{1: 0.32851, 0: 0.1729}"
"(7, 3, 15, 1.0)",{0: 0.0}
"(7, 3, 14, 1.0)",{1: 0.1}
"(7, 3, 14, 2.0)",{0: 0.1}
"(6, 3, 14, -8.0)","{1: 0.6051894039100001, 0: 0.11219309999999999}"
"(6, 3, 14, -7.0)","{1: 0.19, 0: 0.0}"
"(6, 3, 13, -6.0)",{0: 0.1}
"(6, 3, 13, -8.0)",{0: 0.1}
"(6, 3, 13, 0.0)",{1: 0.1}
"(6, 3, 13, 1.0)",{0: 0.1}
"(5, 3, 12, -8.0)","{1: 0.15389999999999998, 0: 0.5695327900000001}"
"(5, 3, 12, 0.0)","{1: 0.081, 0: 0.0729}"
"(5, 3, 12, 1.0)",{0: 0.13851}
"(5, 3, 11, -8.0)","{1: 0.34390000000000004, 0: 0.271}"
"(4, 3, 11, -8.0)","{1: 0.30951000000000006, 0: 0.159049}"
"(4, 3, 11, -7.0)",{1: 0.19}
