,trainingsizes,results,result_sums,mean,qvalues,times,mini,result_q1,result_q2,result_q3,maxi
0,0,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-500.0,-5.0,491,1692,-5.0,-5.0,-5.0,-5.0,-5.0
1,100,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-500.0,-5.0,670,1875,-5.0,-5.0,-5.0,-5.0,-5.0
2,200,"[-5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -4.0, -4.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -4.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -4.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -4.0, -4.0, -4.0, -4.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -4.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -4.0, -5.0, -4.0, -5.0, -5.0]",-475.0,-4.75,886,1209,-5.0,-5.0,-5.0,-4.75,-4.0
3,300,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -4.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -4.0, -4.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0]",-486.0,-4.86,1066,1244,-5.0,-5.0,-5.0,-5.0,-4.0
4,400,"[-4.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -4.0, -4.0, -5.0, -5.0, -4.0, -4.0, -4.0, -4.0, -4.0, -3.0, -4.0, -5.0, -4.0, -4.0, -5.0, -2.0, -5.0, -5.0, -5.0, -5.0, -3.0, -5.0, -3.0, -5.0, -2.0, -4.0, -4.0, -4.0, -5.0, -4.0, -4.0, -5.0, -4.0, -3.0, -5.0, -4.0, -4.0, -2.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -3.0, -5.0, -5.0, -3.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -2.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -3.0, -5.0, -5.0, -1.0, -5.0, -5.0, -5.0, -4.0, -4.0, -3.0, -5.0, -4.0, -5.0, -4.0, -4.0, -5.0, -3.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -2.0, -5.0, -4.0]",-433.0,-4.33,1291,1363,-5.0,-5.0,-5.0,-4.0,-1.0
5,500,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -4.0, -5.0, -4.0, -5.0, -4.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -3.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -2.0, -5.0, -5.0, -4.0, -5.0, -4.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -4.0, -5.0, -3.0, -5.0, -4.0, -5.0, -5.0, -3.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -3.0, -5.0, -5.0, -5.0, -5.0, -5.0, -3.0, -4.0, -5.0, -5.0, -3.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0]",-469.0,-4.69,1583,1484,-5.0,-5.0,-5.0,-5.0,-2.0
6,600,"[-4.0, -3.0, -4.0, -4.0, -4.0, -4.0, -4.0, -5.0, -4.0, -5.0, -4.0, -4.0, -3.0, -4.0, -5.0, -4.0, -4.0, -5.0, -4.0, -4.0, -3.0, -4.0, -4.0, -4.0, -2.0, -5.0, -4.0, -4.0, -4.0, 1.0, -4.0, -4.0, -5.0, -3.0, -4.0, -5.0, -5.0, -2.0, -4.0, -4.0, -5.0, -4.0, -5.0, -4.0, -3.0, -4.0, -4.0, -4.0, -4.0, -5.0, -5.0, 2.0, -5.0, -4.0, -4.0, -4.0, -2.0, -5.0, -4.0, -2.0, -2.0, -4.0, -5.0, -4.0, -4.0, -4.0, -4.0, -4.0, -4.0, -4.0, -5.0, -4.0, -1.0, -3.0, -4.0, -4.0, -4.0, -4.0, -4.0, -5.0, -3.0, -4.0, -5.0, -4.0, -5.0, -4.0, -5.0, -4.0, -5.0, -4.0, -5.0, -4.0, -5.0, -5.0, -2.0, -4.0, -5.0, -4.0, -2.0, -4.0]",-390.0,-3.9,1828,1486,-5.0,-4.25,-4.0,-4.0,2.0
7,700,"[-3.0, -3.0, -4.0, -3.0, -3.0, -2.0, 0.0, -5.0, -4.0, -3.0, -2.0, 0.0, -2.0, -3.0, -1.0, -4.0, -1.0, -4.0, -3.0, -4.0, -4.0, -4.0, -1.0, -3.0, -5.0, -3.0, -4.0, -5.0, -5.0, -4.0, -3.0, -4.0, -2.0, -1.0, -4.0, -4.0, -3.0, -3.0, -4.0, -4.0, -3.0, -3.0, 0.0, -4.0, -5.0, -4.0, -5.0, -2.0, -5.0, 3.0, -4.0, -3.0, -3.0, -4.0, 0.0, -4.0, -3.0, -4.0, -4.0, -4.0, -4.0, -5.0, -4.0, -5.0, -4.0, -4.0, -4.0, -4.0, -4.0, -4.0, 5.0, 3.0, -5.0, -5.0, -4.0, -4.0, -3.0, -1.0, -4.0, -3.0, -5.0, -4.0, -3.0, -4.0, 2.0, -4.0, -3.0, -4.0, -4.0, -3.0, -1.0, 0.0, -3.0, -5.0, -4.0, -4.0, -4.0, -5.0, -3.0, -5.0]",-314.0,-3.14,2118,1944,-5.0,-4.0,-4.0,-3.0,5.0
8,800,"[-4.0, -4.0, -4.0, -5.0, -5.0, -4.0, 0.0, -5.0, -5.0, -3.0, 7.0, -4.0, -2.0, -3.0, -3.0, -1.0, -2.0, -4.0, -4.0, -4.0, -3.0, -2.0, 1.0, -2.0, -2.0, -4.0, -4.0, -5.0, 1.0, -2.0, -4.0, -5.0, 2.0, -3.0, -4.0, -5.0, -5.0, -4.0, -5.0, -4.0, -3.0, -4.0, -5.0, -3.0, -3.0, -4.0, -4.0, -5.0, -4.0, -3.0, -4.0, -3.0, -3.0, 0.0, -3.0, -3.0, -1.0, -2.0, -4.0, 3.0, -4.0, -4.0, -3.0, -3.0, -2.0, 0.0, -4.0, 2.0, -3.0, -4.0, -4.0, -1.0, 0.0, -4.0, -5.0, -4.0, -3.0, -5.0, -2.0, 1.0, -2.0, -4.0, -5.0, 0.0, -4.0, -4.0, -5.0, -5.0, -1.0, -4.0, 4.0, -4.0, -2.0, -2.0, -4.0, -4.0, 2.0, -4.0, -4.0, -3.0]",-283.0,-2.83,2307,1896,-5.0,-4.0,-4.0,-2.0,7.0
9,900,"[-5.0, -5.0, -5.0, -5.0, -5.0, -3.0, -2.0, -5.0, 0.0, -4.0, -3.0, -2.0, -5.0, -4.0, -4.0, -4.0, -5.0, -2.0, -4.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, 1.0, -2.0, -1.0, -3.0, -5.0, -2.0, -5.0, -5.0, 0.0, -5.0, -5.0, -5.0, -5.0, -2.0, -5.0, -5.0, -5.0, -4.0, -5.0, -4.0, -5.0, -3.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -1.0, -5.0, -2.0, -5.0, -3.0, -2.0, -3.0, -5.0, -4.0, -5.0, -4.0, -5.0, -4.0, 0.0, -5.0, -3.0, -1.0, 2.0, -4.0, -3.0, -3.0, -2.0, -5.0, -5.0, -5.0, -1.0, -1.0, 2.0, -1.0, -5.0, -3.0, -3.0, -1.0, -4.0, -2.0, -5.0, -5.0, 0.0, -3.0, -5.0, -5.0, -5.0]",-365.0,-3.65,2517,2137,-5.0,-5.0,-5.0,-3.0,2.0
