,trainingsizes,frames,masterframes,results,result_sums,mean,qvalues,times,mini,result_q1,result_q2,result_q3,maxi
0,0,"[62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 59, 62, 60, 62, 59, 61, 60, 60, 60, 60, 57, 62, 56, 62, 62, 61, 62, 61, 62, 62, 61, 62, 62, 60, 60, 62, 59, 62, 62, 62, 61, 57, 63, 59, 60, 57, 62, 62, 62, 59, 62, 62, 57, 61, 62, 62, 55, 62, 57, 59, 62, 62, 62, 62, 62, 63, 62, 59, 62, 62, 62, 62, 62, 62, 62, 59, 60, 62, 62, 62, 58, 62, 62, 62, 62, 59, 62, 62, 61, 60, 62, 57, 62, 62]",6098,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,498,885,-5.0,-5.0,-5.0,-5.0,-5.0
1,100,"[59, 62, 62, 59, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 55, 61, 62, 62, 62, 61, 62, 62, 56, 62, 63, 62, 56, 62, 62, 62, 62, 62, 62, 62, 62, 56, 62, 62, 62, 58, 62, 62, 58, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 66, 62, 64, 62, 62, 62, 62, 62, 62, 58, 62, 62, 60, 58, 55, 62, 62, 59, 62, 62, 69, 62, 62, 63, 62, 62]",12247,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,665,707,-5.0,-5.0,-5.0,-5.0,-5.0
2,200,"[62, 62, 62, 62, 62, 62, 65, 62, 62, 67, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 55, 62, 62, 62, 62, 62, 54, 62, 62, 62, 65, 62, 62, 62, 62, 62, 62, 62, 62, 65, 62, 62, 62, 66, 62, 62, 62, 64, 62, 62, 62, 60, 62, 62, 65, 62, 75, 72, 62, 62, 62, 62, 62, 62, 62, 62, 62, 63, 77, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 66, 62, 62, 62]",18496,"[-4.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -4.0, -5.0, -4.0, -5.0, -4.0, -4.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0]",-117.0,-4.68,844,705,-5.0,-5.0,-5.0,-4.0,-4.0
3,300,"[62, 62, 62, 68, 62, 62, 62, 76, 65, 62, 62, 62, 62, 62, 65, 62, 65, 62, 62, 62, 78, 62, 62, 62, 62, 78, 62, 62, 69, 62, 102, 66, 69, 68, 98, 62, 62, 62, 62, 98, 98, 62, 66, 98, 75, 62, 98, 62, 62, 62, 62, 62, 62, 62, 62, 62, 69, 62, 67, 62, 62, 175, 69, 62, 62, 71, 98, 62, 65, 62, 62, 62, 62, 68, 62, 62, 68, 98, 62, 62, 67, 62, 62, 68, 62, 62, 62, 62, 62, 62, 62, 62, 98, 62, 62, 66, 62, 62, 62, 62]",25297,"[-5.0, -3.0, -4.0, -5.0, -4.0, -3.0, -5.0, -5.0, -5.0, -5.0, -1.0, -4.0, -4.0, -5.0, -4.0, -5.0, -5.0, -4.0, -3.0, -5.0, -5.0, -4.0, -4.0, -4.0, -4.0]",-105.0,-4.2,1028,747,-5.0,-5.0,-4.0,-4.0,-1.0
4,400,"[62, 134, 62, 62, 62, 72, 62, 134, 62, 62, 62, 62, 62, 60, 62, 62, 72, 62, 94, 62, 131, 62, 62, 73, 62, 69, 62, 62, 62, 68, 67, 62, 67, 98, 62, 62, 62, 62, 62, 62, 101, 62, 62, 62, 62, 98, 62, 134, 77, 58, 62, 62, 71, 71, 62, 62, 62, 62, 62, 58, 62, 62, 62, 62, 62, 62, 62, 73, 62, 62, 62, 62, 74, 62, 72, 62, 71, 62, 62, 62, 62, 62, 62, 62, 62, 62, 58, 77, 69, 62, 62, 62, 62, 62, 62, 62, 62, 62, 106, 62]",32106,"[-5.0, -3.0, -5.0, -5.0, -5.0, -5.0, -3.0, -4.0, -5.0, -4.0, -4.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0]",-116.0,-4.64,1188,726,-5.0,-5.0,-5.0,-4.0,-3.0
5,500,"[71, 62, 62, 98, 62, 62, 98, 62, 62, 71, 62, 72, 66, 70, 62, 100, 98, 62, 62, 62, 76, 62, 62, 62, 62, 75, 98, 177, 62, 70, 71, 63, 62, 100, 77, 62, 62, 98, 62, 64, 98, 62, 98, 62, 134, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 114, 60, 73, 62, 69, 62, 62, 62, 62, 98, 62, 98, 62, 71, 134, 62, 62, 50, 62, 77, 62, 87, 62, 63, 62, 62, 62, 61, 62, 62, 62, 62, 134, 62, 136, 62, 62, 62, 62, 50, 62, 98, 62, 62]",39342,"[-5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -4.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -3.0, -5.0, -5.0, -5.0, -5.0, -4.0, -3.0, -5.0, -5.0, -4.0, -5.0]",-116.0,-4.64,1446,733,-5.0,-5.0,-5.0,-4.0,-3.0
6,600,"[78, 62, 98, 62, 98, 62, 62, 62, 62, 62, 56, 65, 62, 98, 62, 62, 72, 98, 62, 84, 62, 50, 52, 62, 62, 62, 62, 65, 90, 98, 190, 98, 62, 69, 62, 74, 62, 63, 62, 98, 62, 62, 98, 175, 98, 63, 98, 62, 45, 62, 98, 98, 66, 62, 98, 77, 62, 62, 43, 75, 77, 98, 56, 66, 62, 109, 67, 56, 70, 62, 98, 49, 98, 62, 62, 62, 98, 72, 62, 99, 71, 100, 98, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62]",46650,"[-4.0, -5.0, -4.0, -5.0, -4.0, -4.0, -4.0, -4.0, -5.0, -2.0, -5.0, -5.0, -2.0, -4.0, -1.0, -4.0, -5.0, -3.0, -2.0, -3.0, -1.0, -5.0, -4.0, -5.0, -3.0]",-93.0,-3.72,1674,741,-5.0,-5.0,-4.0,-3.0,-1.0
7,700,"[134, 62, 62, 62, 97, 62, 134, 62, 62, 62, 62, 175, 109, 72, 67, 62, 62, 62, 75, 62, 62, 62, 77, 62, 62, 62, 69, 62, 62, 64, 62, 72, 62, 62, 62, 98, 77, 62, 62, 70, 62, 62, 42, 63, 62, 62, 62, 78, 62, 43, 65, 62, 98, 77, 62, 62, 77, 62, 62, 134, 62, 62, 62, 62, 67, 62, 62, 62, 73, 62, 62, 62, 62, 77, 66, 64, 134, 114, 62, 113, 62, 98, 62, 98, 62, 62, 134, 63, 62, 62, 62, 98, 62, 211, 62, 68, 62, 62, 134, 74]",54061,"[-4.0, -5.0, -5.0, -4.0, -4.0, -5.0, -3.0, -4.0, -5.0, -5.0, -4.0, -3.0, -4.0, -5.0, -5.0, -5.0, -5.0, -4.0, -3.0, -4.0, -5.0, -4.0, -4.0, -4.0, -5.0]",-108.0,-4.32,1919,761,-5.0,-5.0,-4.0,-4.0,-3.0
8,800,"[98, 62, 98, 134, 62, 62, 63, 62, 62, 65, 66, 62, 69, 76, 70, 62, 66, 63, 62, 62, 98, 62, 75, 62, 102, 134, 62, 62, 62, 134, 62, 76, 62, 62, 106, 65, 99, 98, 62, 62, 78, 63, 69, 62, 62, 175, 136, 62, 220, 65, 62, 103, 62, 62, 62, 71, 62, 62, 63, 175, 98, 62, 212, 62, 62, 63, 73, 66, 64, 98, 98, 74, 98, 98, 62, 98, 65, 78, 65, 98, 65, 135, 77, 169, 102, 62, 65, 134, 62, 98, 98, 114, 99, 98, 70, 62, 98, 98, 65, 142]",62477,"[-5.0, -5.0, -5.0, -4.0, -4.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -4.0, -5.0, -5.0, -3.0, -5.0, -4.0, -5.0, -5.0, -5.0]",-117.0,-4.68,2187,840,-5.0,-5.0,-5.0,-4.0,-3.0
9,900,"[65, 62, 62, 98, 110, 140, 68, 98, 62, 62, 181, 65, 68, 98, 64, 68, 98, 98, 175, 62, 72, 69, 142, 134, 62, 62, 71, 111, 62, 72, 134, 73, 73, 62, 110, 175, 88, 109, 62, 62, 98, 62, 62, 62, 62, 70, 98, 98, 62, 62, 98, 70, 134, 72, 134, 98, 62, 134, 98, 99, 63, 98, 62, 175, 64, 64, 147, 62, 221, 134, 98, 62, 77, 163, 73, 134, 62, 62, 62, 75, 288, 98, 83, 64, 62, 75, 102, 247, 62, 98, 211, 62, 134, 62, 62, 74, 134, 62, 134, 75]",71968,"[-4.0, -2.0, 3.0, -4.0, -4.0, -2.0, -4.0, -4.0, -2.0, -3.0, -4.0, -2.0, -2.0, -3.0, 4.0, -4.0, -3.0, -4.0, 0.0, -4.0, -4.0, -2.0, -2.0, -4.0, -1.0]",-61.0,-2.44,2445,997,-4.0,-4.0,-3.0,-2.0,4.0
