,trainingsizes,frames,masterframes,results,result_sums,mean,qvalues,times,mini,result_q1,result_q2,result_q3,maxi
0,0,"[62, 62, 62, 62, 56, 60, 62, 62, 60, 62, 62, 58, 62, 59, 62, 62, 62, 62, 55, 62, 58, 62, 62, 62, 60, 60, 62, 56, 61, 56, 62, 62, 60, 62, 62, 60, 62, 59, 62, 61, 62, 62, 61, 62, 62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 55, 62, 62, 62, 62, 62]",6130,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,495,1730,-5.0,-5.0,-5.0,-5.0,-5.0
1,100,"[62, 62, 62, 58, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 57, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 55, 62, 62, 63, 62, 62, 62, 62, 66, 62, 62, 62, 71, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 61, 71, 62, 59, 62, 59, 62, 55, 62, 62, 67, 62, 62, 62, 69, 55, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62]",12323,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,697,859,-5.0,-5.0,-5.0,-5.0,-5.0
2,200,"[62, 62, 62, 62, 62, 62, 62, 62, 71, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 67, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 64, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 58, 67, 62, 62, 62, 62, 54, 71, 62, 62, 62, 66, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 51, 62, 62, 65, 51, 62, 62, 67, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 53, 62]",18521,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-123.0,-4.92,872,848,-5.0,-5.0,-5.0,-5.0,-4.0
3,300,"[62, 62, 62, 55, 62, 62, 62, 62, 62, 62, 69, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 65, 62, 55, 67, 62, 74, 62, 62, 62, 62, 76, 62, 69, 62, 62, 62, 54, 62, 62, 62, 88, 62, 62, 62, 62, 66, 62, 62, 62, 62, 62, 62, 62, 54, 62, 62, 62, 67, 62, 62, 62, 62, 66, 71, 62, 62, 62, 62, 73, 92, 62, 98, 62, 62, 62, 66, 62, 61, 62, 66, 62, 66, 62, 62, 64, 65, 62, 62, 62, 62, 62, 62, 67, 62]",24885,"[-5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0]",-120.0,-4.8,1096,873,-5.0,-5.0,-5.0,-5.0,-4.0
4,400,"[62, 62, 62, 62, 62, 62, 62, 62, 62, 69, 67, 74, 67, 62, 62, 62, 62, 62, 63, 61, 65, 62, 62, 71, 62, 62, 62, 67, 67, 64, 62, 66, 62, 62, 62, 62, 62, 69, 62, 62, 72, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 67, 62, 62, 71, 65, 100, 62, 62, 76, 66, 62, 62, 71, 77, 76, 62, 62, 62, 62, 62, 65, 62, 62, 62, 77, 62, 62, 62, 62, 62, 62, 75, 77, 62, 62, 62, 62, 78, 62, 68, 64]",31340,"[-5.0, -4.0, -5.0, -4.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -4.0, -4.0, -5.0, -5.0, -4.0]",-118.0,-4.72,1286,946,-5.0,-5.0,-5.0,-4.0,-4.0
5,500,"[71, 62, 62, 62, 62, 62, 76, 73, 62, 77, 62, 72, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 63, 98, 69, 67, 62, 62, 62, 62, 71, 71, 62, 62, 62, 63, 62, 72, 75, 62, 62, 62, 86, 62, 62, 59, 62, 77, 134, 62, 98, 62, 75, 62, 62, 62, 99, 105, 62, 65, 62, 62, 62, 62, 62, 62, 62, 76, 57, 97, 74, 66, 62, 65, 64, 66, 62, 74, 62, 134, 73, 114, 64, 62, 62, 62, 98, 62, 59, 62, 62, 62, 62, 65, 98, 62, 62]",38220,"[-4.0, -5.0, -5.0, -5.0, -4.0, -4.0, -5.0, -4.0, -4.0, -5.0, -5.0, -4.0, -5.0, -3.0, -3.0, -4.0, -4.0, -4.0, -5.0, -4.0, -4.0, -5.0, -5.0, -4.0, -5.0]",-109.0,-4.36,1456,1047,-5.0,-5.0,-4.0,-4.0,-3.0
6,600,"[62, 68, 87, 63, 102, 75, 98, 62, 62, 85, 62, 67, 66, 62, 77, 65, 134, 68, 62, 63, 175, 62, 66, 66, 62, 62, 100, 91, 98, 62, 62, 62, 62, 105, 104, 62, 62, 99, 103, 62, 85, 67, 67, 62, 106, 62, 62, 62, 62, 98, 69, 59, 66, 98, 62, 134, 62, 67, 62, 62, 62, 62, 62, 134, 101, 62, 98, 62, 62, 69, 62, 62, 65, 65, 62, 62, 71, 67, 72, 62, 98, 98, 72, 98, 62, 62, 56, 62, 72, 147, 62, 62, 101, 70, 62, 75, 67, 59, 98, 62]",45780,"[-5.0, -4.0, -1.0, -3.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -4.0, -4.0, -4.0, -5.0, 0.0, -4.0, -5.0, -4.0, -5.0, -5.0, -3.0, -5.0, -4.0, -4.0, -5.0]",-103.0,-4.12,1673,1471,-5.0,-5.0,-4.0,-4.0,0.0
7,700,"[121, 62, 62, 98, 65, 62, 98, 113, 62, 62, 62, 62, 63, 62, 62, 62, 97, 62, 98, 211, 111, 62, 71, 63, 62, 62, 98, 126, 62, 62, 62, 62, 62, 62, 62, 62, 62, 98, 98, 134, 98, 114, 72, 62, 134, 65, 68, 62, 149, 62, 62, 75, 78, 62, 98, 175, 62, 75, 98, 98, 62, 98, 62, 62, 62, 62, 98, 62, 134, 62, 62, 62, 98, 75, 62, 59, 114, 134, 77, 62, 98, 98, 62, 98, 77, 62, 62, 70, 109, 93, 63, 98, 98, 62, 112, 62, 73, 113, 62, 98]",53977,"[-5.0, -4.0, -5.0, -4.0, -4.0, -4.0, -4.0, -4.0, -4.0, -4.0, -4.0, -4.0, -3.0, -4.0, -2.0, -4.0, -4.0, -5.0, -4.0, -5.0, -4.0, -5.0, -4.0, -3.0, -4.0]",-101.0,-4.04,1854,1160,-5.0,-4.0,-4.0,-4.0,-2.0
8,800,"[55, 98, 98, 76, 98, 98, 148, 62, 74, 77, 62, 98, 134, 113, 62, 57, 62, 134, 62, 130, 67, 62, 106, 67, 114, 62, 175, 62, 78, 98, 134, 65, 64, 92, 62, 62, 62, 62, 68, 74, 134, 134, 134, 83, 119, 62, 62, 157, 98, 62, 150, 62, 62, 62, 62, 191, 98, 62, 62, 98, 211, 62, 65, 98, 98, 98, 62, 62, 54, 134, 62, 62, 70, 247, 62, 62, 98, 62, 64, 62, 62, 175, 98, 98, 134, 247, 135, 62, 108, 62, 54, 98, 62, 62, 62, 134, 62, 62, 134, 98]",63169,"[-4.0, -2.0, -5.0, -4.0, -4.0, 3.0, 1.0, -4.0, -2.0, -4.0, -5.0, -3.0, -1.0, -3.0, -5.0, -4.0, -1.0, -3.0, -2.0, -4.0, -3.0, 0.0, -4.0, -3.0, -3.0]",-69.0,-2.76,2100,1348,-5.0,-4.0,-3.0,-2.0,3.0
9,900,"[63, 62, 98, 98, 75, 71, 62, 62, 62, 62, 62, 134, 62, 98, 69, 65, 112, 62, 75, 76, 72, 62, 134, 62, 76, 78, 62, 62, 62, 62, 52, 62, 98, 109, 196, 98, 55, 134, 68, 60, 62, 98, 175, 62, 72, 247, 134, 62, 62, 62, 62, 62, 95, 71, 62, 134, 62, 64, 62, 62, 62, 53, 62, 284, 64, 109, 179, 98, 62, 62, 98, 62, 60, 62, 98, 62, 62, 134, 98, 62, 134, 49, 98, 109, 58, 134, 98, 62, 62, 134, 98, 62, 71, 62, 62, 62, 54, 247, 134, 62]",71820,"[-4.0, -2.0, -2.0, -4.0, -2.0, 6.0, -2.0, -2.0, -3.0, -3.0, -3.0, 0.0, 0.0, 8.0, -4.0, -4.0, -4.0, 0.0, -4.0, -4.0, -4.0, 0.0, -5.0, -4.0, -4.0]",-50.0,-2.0,2337,1190,-5.0,-4.0,-3.0,-2.0,8.0
