,trainingsizes,frames,masterframes,results,result_sums,mean,qvalues,times,mini,result_q1,result_q2,result_q3,maxi
0,0,"[56, 62, 62, 62, 62, 62, 62, 62, 57, 61, 62, 62, 62, 62, 62, 60, 62, 60, 62, 61, 62, 62, 60, 61, 60, 62, 59, 58, 60, 62, 62, 62, 62, 62, 62, 59, 62, 62, 62, 61, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 59, 62, 62, 62, 62, 59, 61, 62, 62, 62, 62, 62, 62, 62, 62, 56, 62, 62, 62, 62, 62, 62, 58, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 64, 62, 62, 62, 62, 62, 62, 62, 62]",6148,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,502,1004,-5.0,-5.0,-5.0,-5.0,-5.0
1,100,"[62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 55, 62, 62, 62, 62, 66, 62, 62, 62, 62, 62, 62, 62, 62, 54, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 63, 62, 63, 62, 62, 62, 62, 62, 62, 62, 62, 67, 62, 62, 62, 62, 56, 69, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 65]",12347,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,672,876,-5.0,-5.0,-5.0,-5.0,-5.0
2,200,"[62, 62, 69, 62, 62, 62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 62, 55, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 62, 62, 56, 62, 62, 62, 62, 55, 62, 62, 62, 62, 62, 62, 62, 62, 62, 68, 65, 62, 62, 71, 62, 62, 62, 62, 62, 62, 62, 72, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 74, 62, 62, 64, 62, 62, 62, 65, 62, 62, 62, 62, 62, 62, 62, 62, 62, 63, 62, 62, 62, 66, 62]",18578,"[-5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-121.0,-4.84,850,981,-5.0,-5.0,-5.0,-5.0,-4.0
3,300,"[62, 62, 62, 76, 62, 62, 62, 62, 62, 62, 62, 66, 62, 62, 63, 62, 62, 62, 62, 62, 62, 62, 62, 62, 69, 62, 64, 71, 62, 85, 62, 62, 62, 68, 62, 62, 62, 62, 62, 77, 76, 89, 62, 62, 62, 62, 63, 62, 62, 62, 69, 62, 62, 61, 62, 62, 56, 62, 73, 62, 62, 62, 62, 52, 62, 62, 73, 62, 62, 62, 63, 62, 50, 98, 62, 64, 65, 62, 62, 62, 62, 62, 63, 62, 63, 62, 62, 56, 62, 67, 77, 53, 62, 62, 98, 62, 62, 62, 50, 54]",24966,"[-4.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-122.0,-4.88,1039,972,-5.0,-5.0,-5.0,-5.0,-4.0
4,400,"[65, 62, 62, 67, 65, 68, 65, 62, 62, 62, 62, 62, 73, 74, 62, 62, 134, 98, 62, 98, 73, 62, 98, 62, 62, 62, 98, 62, 62, 62, 62, 76, 69, 62, 62, 70, 62, 72, 62, 62, 58, 62, 62, 62, 98, 60, 62, 62, 62, 68, 98, 62, 98, 62, 73, 62, 62, 68, 98, 55, 69, 77, 62, 62, 75, 62, 68, 62, 107, 98, 62, 71, 62, 62, 98, 61, 62, 62, 62, 64, 62, 62, 62, 62, 62, 62, 64, 62, 62, 71, 108, 62, 68, 64, 62, 62, 78, 73, 62, 74]",31901,"[-4.0, -5.0, -5.0, -5.0, -4.0, -5.0, -4.0, -5.0, -4.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -4.0, -5.0, -4.0, -4.0, -4.0, -5.0, -4.0]",-114.0,-4.56,1249,941,-5.0,-5.0,-5.0,-4.0,-4.0
5,500,"[58, 62, 67, 62, 71, 62, 62, 62, 62, 62, 62, 71, 77, 66, 98, 62, 62, 62, 62, 77, 62, 66, 73, 113, 98, 62, 98, 61, 62, 78, 62, 62, 98, 62, 62, 62, 62, 111, 62, 62, 62, 185, 62, 62, 62, 62, 68, 62, 62, 62, 62, 62, 64, 64, 62, 68, 62, 62, 62, 77, 72, 65, 62, 62, 62, 98, 78, 62, 71, 62, 62, 77, 70, 62, 62, 62, 69, 134, 62, 76, 111, 62, 98, 77, 62, 62, 62, 62, 62, 62, 71, 62, 98, 98, 53, 98, 62, 76, 62, 70]",39002,"[-5.0, -3.0, -3.0, -4.0, -4.0, -5.0, -3.0, -5.0, -1.0, -4.0, -4.0, -4.0, -4.0, -4.0, -4.0, -4.0, -2.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0]",-102.0,-4.08,1459,1026,-5.0,-5.0,-4.0,-4.0,-1.0
6,600,"[62, 62, 71, 62, 110, 62, 62, 62, 62, 70, 98, 78, 62, 98, 134, 70, 62, 98, 75, 65, 62, 62, 70, 62, 78, 64, 62, 64, 62, 62, 62, 98, 62, 62, 62, 64, 62, 98, 62, 62, 62, 67, 62, 62, 62, 62, 98, 62, 62, 134, 62, 62, 62, 62, 66, 62, 62, 48, 62, 74, 134, 62, 62, 98, 98, 62, 62, 62, 62, 70, 55, 98, 64, 62, 72, 62, 62, 62, 62, 62, 70, 62, 62, 62, 62, 62, 71, 62, 62, 63, 134, 62, 62, 62, 65, 62, 59, 99, 55, 98]",46053,"[-5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -4.0, -4.0, -5.0, -5.0, -3.0, -5.0, -5.0, -5.0, -5.0, -4.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-117.0,-4.68,1680,1026,-5.0,-5.0,-5.0,-4.0,-3.0
7,700,"[69, 62, 72, 134, 71, 62, 134, 68, 62, 77, 72, 62, 62, 109, 114, 62, 62, 63, 62, 98, 76, 62, 62, 64, 55, 62, 98, 49, 98, 98, 78, 98, 62, 62, 172, 211, 65, 62, 76, 98, 98, 98, 62, 62, 62, 98, 62, 98, 62, 199, 62, 62, 134, 62, 78, 98, 107, 98, 62, 62, 175, 62, 98, 61, 62, 62, 62, 63, 61, 134, 64, 191, 62, 98, 62, 98, 98, 59, 62, 62, 55, 78, 169, 62, 211, 62, 98, 164, 62, 111, 62, 98, 62, 186, 175, 98, 62, 62, 62, 62]",54761,"[-4.0, -4.0, -3.0, -4.0, -3.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -1.0, 0.0, -1.0, -3.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -4.0]",-101.0,-4.04,1976,1329,-5.0,-5.0,-5.0,-4.0,0.0
8,800,"[62, 62, 78, 175, 62, 134, 62, 98, 62, 55, 64, 62, 62, 108, 60, 134, 62, 62, 62, 62, 98, 134, 62, 98, 66, 65, 62, 62, 67, 175, 158, 62, 62, 62, 98, 62, 134, 104, 62, 66, 98, 62, 48, 98, 62, 62, 62, 67, 62, 62, 62, 66, 62, 62, 62, 98, 62, 108, 62, 62, 98, 62, 175, 61, 67, 62, 62, 62, 62, 62, 98, 62, 62, 70, 134, 56, 62, 62, 98, 62, 62, 62, 62, 247, 62, 62, 56, 135, 62, 134, 62, 62, 98, 98, 134, 98, 61, 62, 62, 62]",62779,"[-1.0, -4.0, -4.0, -2.0, -4.0, -4.0, -4.0, -4.0, -5.0, 0.0, -2.0, -3.0, -4.0, -3.0, -5.0, -1.0, -5.0, 0.0, -2.0, -4.0, -5.0, -5.0, -1.0, -2.0, -3.0]",-77.0,-3.08,2159,1208,-5.0,-4.0,-4.0,-2.0,0.0
9,900,"[62, 62, 62, 288, 62, 65, 142, 64, 75, 62, 62, 62, 64, 65, 62, 62, 98, 98, 62, 62, 64, 62, 98, 98, 63, 175, 67, 62, 247, 62, 62, 62, 62, 98, 62, 62, 48, 62, 62, 62, 62, 98, 62, 61, 98, 62, 62, 62, 62, 75, 69, 98, 175, 62, 66, 62, 78, 53, 98, 62, 62, 98, 247, 62, 62, 62, 134, 59, 62, 134, 62, 62, 62, 62, 76, 62, 70, 136, 62, 62, 62, 63, 98, 62, 62, 64, 75, 62, 62, 72, 62, 62, 135, 62, 62, 98, 62, 62, 134, 68]",70774,"[-5.0, -5.0, -4.0, -1.0, -4.0, -3.0, -3.0, -4.0, -4.0, -1.0, -3.0, -4.0, -3.0, -3.0, -4.0, -3.0, -4.0, -4.0, -4.0, -4.0, -5.0, -4.0, -4.0, -2.0, -4.0]",-89.0,-3.56,2321,1174,-5.0,-4.0,-4.0,-3.0,-1.0
