,trainingsizes,frames,masterframes,results,result_sums,mean,qvalues,times,mini,result_q1,result_q2,result_q3,maxi
0,0,"[62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 63, 62, 62, 62, 64, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 64, 64, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62]",6196,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,424,1087,-5.0,-5.0,-5.0,-5.0,-5.0
1,100,"[62, 62, 62, 64, 62, 62, 62, 62, 62, 63, 62, 62, 62, 62, 62, 63, 62, 62, 62, 62, 62, 62, 60, 62, 63, 62, 67, 62, 68, 62, 62, 66, 55, 62, 62, 66, 62, 58, 62, 62, 62, 62, 62, 62, 70, 55, 67, 65, 62, 62, 62, 62, 62, 65, 62, 62, 62, 62, 62, 62, 58, 62, 71, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 67, 60, 62, 62, 57, 62, 62, 56, 62, 54, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 65, 62, 62, 62, 62, 62, 54]",12403,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-123.0,-4.92,587,934,-5.0,-5.0,-5.0,-5.0,-4.0
2,200,"[62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 63, 62, 63, 62, 57, 62, 70, 62, 62, 62, 62, 70, 62, 58, 62, 62, 73, 74, 69, 62, 75, 62, 62, 74, 62, 57, 62, 62, 62, 62, 62, 62, 64, 62, 62, 78, 70, 62, 62, 66, 62, 62, 62, 98, 62, 62, 62, 78, 62, 62, 62, 62, 71, 62, 62, 62, 62, 98, 62, 67, 62, 62, 62, 69, 62, 62, 62, 62, 62, 62, 62, 62, 62]",18800,"[-4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -4.0, -5.0, -5.0]",-121.0,-4.84,762,999,-5.0,-5.0,-5.0,-5.0,-4.0
3,300,"[62, 62, 65, 62, 62, 75, 98, 91, 62, 62, 62, 62, 62, 67, 66, 98, 98, 62, 62, 62, 66, 71, 62, 62, 62, 63, 62, 62, 65, 62, 72, 62, 62, 77, 62, 62, 62, 62, 134, 74, 167, 98, 62, 62, 62, 62, 62, 98, 62, 62, 62, 62, 62, 62, 67, 62, 137, 62, 62, 67, 62, 62, 62, 73, 69, 62, 62, 62, 62, 62, 98, 62, 62, 62, 62, 98, 62, 62, 62, 62, 62, 62, 71, 62, 62, 62, 62, 62, 62, 62, 62, 71, 62, 62, 62, 61, 134, 98, 62, 62]",25765,"[-5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -4.0, -4.0, -5.0, -3.0, -5.0, -4.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0]",-117.0,-4.68,949,974,-5.0,-5.0,-5.0,-4.0,-3.0
4,400,"[62, 134, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 98, 62, 62, 62, 62, 62, 62, 62, 175, 62, 99, 62, 106, 107, 62, 62, 61, 62, 62, 62, 62, 62, 62, 63, 98, 62, 98, 62, 62, 62, 62, 107, 65, 62, 134, 60, 62, 98, 98, 62, 62, 62, 62, 98, 62, 62, 62, 62, 62, 62, 62, 98, 71, 62, 62, 62, 62, 62, 62, 62, 101, 77, 63, 62, 62, 62, 62, 62, 69, 65, 62, 62, 62, 98, 64, 62, 62]",32758,"[-4.0, -5.0, -5.0, -5.0, -5.0, -4.0, -4.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-119.0,-4.76,1124,1028,-5.0,-5.0,-5.0,-5.0,-4.0
5,500,"[53, 62, 62, 62, 62, 62, 62, 62, 62, 62, 98, 62, 62, 175, 62, 62, 62, 62, 76, 62, 65, 69, 62, 63, 62, 98, 62, 62, 62, 62, 67, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 105, 62, 74, 62, 69, 62, 62, 62, 62, 62, 98, 70, 69, 65, 62, 98, 62, 62, 62, 62, 62, 67, 175, 62, 62, 62, 102, 62, 62, 62, 72, 62, 72, 62, 62, 67, 98, 62, 65, 77, 62, 62, 62, 62, 134, 71, 62, 62, 62, 65, 62, 63, 62, 62, 62, 61, 62, 76]",39651,"[-5.0, -5.0, -4.0, -4.0, -4.0, -5.0, -5.0, -5.0, -5.0, -4.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -4.0, -4.0, -5.0, -5.0, -5.0, -5.0, -4.0]",-116.0,-4.64,1326,1011,-5.0,-5.0,-5.0,-4.0,-4.0
6,600,"[62, 62, 62, 76, 62, 62, 62, 62, 62, 62, 98, 70, 75, 62, 62, 62, 62, 62, 62, 62, 62, 68, 62, 86, 74, 62, 62, 62, 62, 62, 62, 62, 134, 98, 62, 70, 65, 72, 62, 62, 62, 57, 63, 54, 63, 55, 98, 99, 124, 98, 98, 69, 62, 62, 66, 62, 62, 62, 98, 64, 78, 58, 98, 175, 98, 98, 98, 85, 53, 62, 75, 64, 134, 62, 62, 62, 134, 75, 134, 62, 54, 62, 134, 54, 63, 62, 62, 98, 98, 98, 69, 72, 62, 62, 98, 62, 71, 175, 62, 62]",47198,"[-5.0, -5.0, -4.0, -3.0, -5.0, -5.0, -5.0, -2.0, -5.0, -4.0, -4.0, -5.0, -5.0, -3.0, -5.0, -4.0, -1.0, -4.0, -5.0, -5.0, -5.0, -5.0, -4.0, -3.0, -3.0]",-104.0,-4.16,1527,1059,-5.0,-5.0,-5.0,-4.0,-1.0
7,700,"[62, 159, 62, 70, 62, 69, 62, 62, 75, 62, 77, 58, 62, 62, 77, 98, 62, 62, 77, 98, 134, 62, 112, 62, 98, 98, 98, 98, 62, 62, 62, 106, 98, 134, 62, 70, 62, 134, 62, 62, 62, 62, 134, 134, 62, 62, 73, 98, 211, 62, 62, 62, 98, 62, 74, 62, 89, 62, 62, 473, 62, 110, 62, 62, 98, 69, 72, 134, 98, 98, 62, 62, 62, 98, 62, 68, 62, 98, 105, 62, 62, 62, 62, 62, 62, 62, 98, 62, 62, 62, 73, 62, 98, 62, 134, 72, 134, 62, 98, 62]",55599,"[-5.0, -1.0, -5.0, -4.0, -4.0, -4.0, -4.0, -5.0, -4.0, -5.0, -3.0, -3.0, -4.0, -5.0, -3.0, -5.0, -4.0, -5.0, -5.0, -4.0, -5.0, -5.0, -4.0, -5.0, -5.0]",-106.0,-4.24,1730,1226,-5.0,-5.0,-4.0,-4.0,-1.0
8,800,"[247, 175, 98, 134, 62, 62, 62, 62, 189, 62, 134, 134, 62, 175, 98, 98, 134, 98, 211, 69, 108, 62, 134, 62, 62, 98, 98, 99, 70, 175, 98, 98, 134, 75, 134, 134, 98, 62, 57, 76, 62, 62, 134, 107, 62, 211, 98, 54, 98, 56, 62, 62, 98, 134, 73, 56, 107, 412, 147, 134, 247, 62, 175, 98, 134, 62, 169, 62, 55, 62, 62, 62, 98, 98, 62, 98, 62, 75, 98, 71, 170, 72, 98, 134, 62, 134, 98, 90, 62, 62, 62, 62, 134, 62, 62, 62, 62, 62, 175, 62]",65827,"[-5.0, -2.0, -5.0, -3.0, -3.0, -3.0, -3.0, -4.0, -3.0, -5.0, -4.0, -5.0, -5.0, -4.0, -3.0, -1.0, 0.0, -3.0, -2.0, -5.0, -3.0, -4.0, -5.0, -1.0, -4.0]",-85.0,-3.4,2021,1676,-5.0,-5.0,-3.0,-3.0,0.0
9,900,"[62, 62, 134, 247, 175, 62, 177, 134, 62, 145, 62, 338, 98, 77, 62, 98, 98, 90, 62, 134, 149, 58, 211, 141, 98, 62, 146, 62, 137, 106, 98, 288, 137, 62, 69, 62, 61, 70, 98, 98, 61, 62, 62, 134, 140, 221, 159, 98, 71, 62, 98, 211, 62, 62, 92, 62, 98, 125, 134, 62, 98, 62, 64, 62, 62, 182, 62, 62, 62, 62, 376, 111, 62, 62, 62, 62, 64, 98, 175, 98, 107, 68, 62, 62, 62, 69, 256, 62, 142, 62, 134, 62, 134, 62, 62, 98, 98, 211, 146, 175]",76577,"[-4.0, -4.0, -1.0, -1.0, 4.0, -4.0, -1.0, -3.0, -4.0, -3.0, -3.0, -3.0, -4.0, -1.0, 0.0, -1.0, 0.0, 1.0, 0.0, -5.0, -2.0, -4.0, -4.0, -5.0, 11.0]",-41.0,-1.64,2279,1721,-5.0,-4.0,-3.0,-1.0,11.0
10,1000,"[216, 62, 62, 62, 62, 62, 62, 247, 98, 63, 105, 69, 98, 247, 66, 62, 72, 98, 64, 98, 288, 62, 211, 62, 136, 65, 62, 134, 62, 134, 140, 188, 62, 134, 62, 175, 98, 73, 134, 211, 62, 65, 62, 134, 211, 100, 134, 98, 401, 324, 67, 77, 62, 98, 98, 66, 105, 98, 62, 175, 134, 62, 62, 62, 98, 62, 134, 62, 98, 62, 62, 62, 62, 98, 360, 62, 175, 211, 247, 62, 62, 62, 288, 67, 62, 72, 213, 62, 437, 134, 75, 175, 98, 137, 204, 135, 62, 98, 134, 62]",88420,"[-3.0, -3.0, -3.0, -3.0, -3.0, -4.0, -3.0, -3.0, -3.0, 3.0, -2.0, -4.0, 1.0, -5.0, -2.0, -1.0, -5.0, -4.0, 3.0, 1.0, -5.0, -3.0, -5.0, -5.0, -5.0]",-66.0,-2.64,2517,1923,-5.0,-4.0,-3.0,-2.0,3.0
11,1100,"[62, 62, 62, 98, 211, 77, 62, 87, 69, 150, 98, 98, 134, 98, 324, 134, 98, 247, 183, 62, 62, 62, 134, 134, 98, 62, 175, 134, 62, 134, 62, 247, 62, 62, 98, 175, 134, 62, 134, 101, 62, 211, 134, 211, 247, 134, 62, 74, 211, 68, 134, 473, 62, 104, 112, 175, 288, 98, 98, 179, 134, 98, 134, 135, 66, 72, 98, 134, 175, 73, 62, 62, 62, 62, 134, 134, 66, 65, 62, 134, 62, 134, 67, 62, 247, 175, 57, 60, 134, 211, 220, 77, 75, 401, 60, 175, 67, 134, 175, 62]",100784,"[0.0, -3.0, -2.0, -3.0, 1.0, 6.0, 0.0, -1.0, 1.0, -5.0, 0.0, 1.0, -3.0, 0.0, -3.0, 3.0, -3.0, 0.0, -2.0, -3.0, -3.0, -1.0, -2.0, -3.0, 9.0]",-16.0,-0.64,2743,1767,-5.0,-3.0,-1.0,0.0,9.0
12,1200,"[134, 98, 99, 98, 70, 98, 51, 134, 247, 135, 134, 134, 290, 247, 99, 324, 60, 98, 211, 134, 105, 101, 62, 211, 62, 209, 185, 76, 134, 107, 183, 142, 211, 324, 98, 211, 62, 67, 134, 247, 134, 134, 78, 247, 58, 62, 98, 62, 62, 175, 62, 211, 98, 98, 98, 173, 211, 63, 57, 62, 98, 211, 324, 60, 134, 288, 247, 98, 211, 98, 247, 247, 62, 63, 175, 62, 134, 134, 288, 134, 134, 247, 211, 211, 211, 175, 211, 288, 134, 175, 58, 324, 218, 247, 62, 98, 62, 62, 396, 247]",115939,"[-1.0, -1.0, -2.0, 3.0, -4.0, -4.0, -1.0, -3.0, -4.0, -1.0, -4.0, -1.0, -4.0, 3.0, 4.0, -2.0, -3.0, -3.0, 2.0, -4.0, -4.0, -4.0, -4.0, 2.0, -4.0]",-44.0,-1.76,2934,2346,-4.0,-4.0,-3.0,-1.0,4.0
13,1300,"[98, 98, 475, 98, 98, 57, 211, 98, 175, 62, 98, 134, 63, 62, 62, 62, 98, 211, 98, 360, 62, 59, 211, 134, 99, 134, 211, 62, 76, 134, 247, 62, 96, 98, 247, 210, 62, 134, 175, 211, 62, 71, 63, 62, 134, 98, 140, 175, 98, 134, 98, 62, 62, 98, 98, 175, 211, 175, 98, 134, 812, 247, 62, 247, 288, 62, 58, 112, 324, 62, 62, 247, 247, 211, 98, 324, 175, 247, 134, 55, 62, 211, 134, 175, 98, 211, 62, 247, 134, 288, 211, 64, 62, 134, 65, 62, 288, 98, 247, 134]",130690,"[-1.0, -2.0, -2.0, -3.0, -3.0, -4.0, -2.0, -4.0, -2.0, 0.0, -5.0, -2.0, -4.0, -5.0, -4.0, -3.0, -2.0, 8.0, -2.0, -3.0, -3.0, -2.0, -3.0, -1.0, -4.0]",-58.0,-2.32,3087,2437,-5.0,-4.0,-3.0,-2.0,8.0
14,1400,"[98, 107, 103, 134, 134, 62, 62, 62, 99, 98, 98, 247, 97, 62, 62, 62, 175, 98, 98, 62, 175, 211, 134, 175, 98, 324, 211, 175, 97, 98, 113, 175, 98, 158, 134, 62, 98, 98, 62, 98, 62, 114, 98, 62, 62, 175, 68, 98, 98, 98, 211, 62, 62, 98, 62, 62, 134, 247, 62, 62, 288, 401, 247, 98, 437, 211, 98, 62, 98, 62, 175, 62, 62, 98, 98, 98, 98, 146, 211, 134, 253, 62, 212, 98, 259, 71, 175, 62, 181, 62, 401, 211, 62, 401, 65, 175, 134, 134, 98, 360]",144161,"[-5.0, -2.0, 7.0, 0.0, 5.0, -4.0, -4.0, -4.0, -5.0, -1.0, -3.0, -2.0, -3.0, -3.0, -3.0, -1.0, -5.0, -4.0, 0.0, 0.0, -4.0, 2.0, -4.0, -1.0, -1.0]",-45.0,-1.8,3223,2219,-5.0,-4.0,-3.0,-1.0,7.0
15,1500,"[62, 324, 98, 211, 62, 211, 134, 175, 98, 98, 62, 98, 98, 62, 360, 62, 288, 62, 213, 175, 98, 107, 104, 98, 247, 98, 62, 247, 62, 134, 89, 401, 98, 362, 98, 98, 106, 74, 219, 98, 62, 98, 211, 211, 324, 128, 360, 211, 147, 98, 473, 550, 62, 247, 98, 98, 288, 175, 98, 360, 68, 550, 175, 211, 175, 473, 134, 134, 62, 134, 134, 150, 105, 98, 134, 258, 63, 134, 247, 98, 473, 437, 98, 98, 635, 1454, 98, 98, 134, 62, 98, 134, 360, 62, 98, 134, 98, 62, 288, 98]",162869,"[2.0, -4.0, -5.0, -5.0, 7.0, -5.0, -2.0, -1.0, 0.0, -4.0, -2.0, 3.0, -5.0, 2.0, -1.0, -5.0, -2.0, 1.0, -1.0, -2.0, -3.0, -1.0, -2.0, 1.0, -1.0]",-35.0,-1.4,3331,2836,-5.0,-4.0,-2.0,0.0,7.0
