,trainingsizes,frames,masterframes,results,result_sums,mean,qvalues,times,mini,result_q1,result_q2,result_q3,maxi
0,0,"[61, 62, 62, 58, 58, 59, 62, 58, 62, 62, 62, 62, 62, 62, 61, 62, 61, 61, 62, 62, 61, 59, 60, 62, 62, 59, 57, 62, 62, 62, 56, 60, 62, 62, 62, 57, 52, 62, 62, 62, 57, 62, 61, 62, 62, 59, 59, 62, 62, 53, 61, 62, 62, 62, 62, 59, 62, 55, 58, 62, 62, 58, 62, 56, 62, 62, 62, 62, 62, 62, 61, 60, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 63, 62, 62, 62, 62, 62, 60, 62, 57, 62, 62, 62, 56, 62, 62, 57, 71]",6086,"[-5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -4.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -4.0, -5.0]",-119.0,-4.76,597,1094,-5.0,-5.0,-5.0,-5.0,-4.0
1,100,"[57, 62, 62, 62, 62, 65, 62, 62, 55, 62, 62, 62, 62, 62, 62, 60, 59, 62, 62, 55, 62, 62, 62, 62, 62, 62, 53, 62, 62, 67, 55, 63, 62, 62, 62, 61, 62, 62, 62, 63, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 56, 62, 62, 55, 62, 62, 67, 65, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 62, 73, 62, 61, 62, 62, 57, 62, 62, 62, 62, 57, 62, 62, 70, 62, 62, 62, 62, 58, 62, 62, 62, 62, 60, 62]",12249,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,787,925,-5.0,-5.0,-5.0,-5.0,-5.0
2,200,"[56, 62, 62, 62, 62, 59, 62, 62, 64, 62, 62, 62, 62, 62, 62, 63, 59, 52, 62, 62, 66, 75, 62, 62, 63, 62, 62, 62, 54, 62, 62, 62, 62, 62, 62, 56, 59, 62, 62, 64, 62, 62, 62, 74, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 53, 62, 62, 62, 62, 62, 62, 62, 62, 62, 64, 62, 62, 62, 62, 62, 55, 62, 62, 63, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 65, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62]",18435,"[-5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -4.0, -5.0, -5.0, -4.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -4.0, -4.0]",-118.0,-4.72,981,998,-5.0,-5.0,-5.0,-4.0,-4.0
3,300,"[87, 62, 62, 62, 62, 62, 62, 62, 62, 62, 51, 56, 62, 63, 98, 63, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 75, 65, 62, 62, 66, 62, 62, 74, 62, 62, 69, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 68, 75, 62, 62, 62, 73, 62, 62, 62, 62, 65, 62, 62, 62, 62, 62, 62, 62, 65, 62, 78, 62, 62, 74, 62, 62, 62, 64, 50, 62, 62, 62, 62, 62, 66, 55, 62, 68, 98, 62, 62, 98, 57, 62, 62, 62, 62, 62]",24844,"[-5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -4.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0]",-120.0,-4.8,1191,1013,-5.0,-5.0,-5.0,-5.0,-4.0
4,400,"[62, 62, 62, 62, 62, 62, 47, 62, 62, 62, 62, 62, 62, 65, 62, 62, 62, 62, 62, 62, 65, 62, 62, 62, 62, 62, 62, 75, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 65, 62, 62, 62, 62, 62, 62, 65, 62, 62, 62, 54, 63, 62, 62, 64, 62, 62, 62, 52, 62, 62, 62, 65, 62, 62, 62, 67, 62, 62, 62, 56, 62, 62, 62, 62, 62, 64, 98, 62, 62, 62, 62, 62, 62, 65, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 57]",31077,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0]",-124.0,-4.96,1374,902,-5.0,-5.0,-5.0,-5.0,-4.0
5,500,"[62, 50, 62, 63, 66, 62, 62, 62, 62, 70, 62, 62, 66, 98, 62, 98, 62, 56, 67, 62, 62, 66, 72, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 62, 58, 62, 62, 62, 98, 62, 62, 62, 62, 70, 62, 62, 62, 97, 62, 63, 62, 62, 62, 65, 62, 76, 67, 98, 71, 73, 62, 62, 64, 62, 62, 62, 62, 62, 62, 62, 70, 69, 52, 62, 62, 72, 62, 68, 62, 62, 62, 62, 64, 62, 62, 62, 62, 62, 60, 62, 62, 62, 69, 62, 62]",37548,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -4.0, -5.0, -5.0, -5.0, -5.0]",-123.0,-4.92,1585,941,-5.0,-5.0,-5.0,-5.0,-4.0
6,600,"[62, 69, 98, 62, 71, 62, 62, 62, 62, 62, 62, 62, 50, 62, 62, 62, 56, 65, 62, 77, 54, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 77, 62, 62, 62, 62, 52, 62, 62, 77, 62, 63, 62, 62, 62, 62, 62, 62, 67, 62, 62, 62, 62, 62, 66, 62, 62, 62, 62, 98, 62, 62, 62, 66, 67, 62, 62, 62, 62, 68, 62, 62, 70, 62, 62, 62, 62, 62, 70, 71, 62, 62, 62, 98, 67, 134, 48, 65, 62, 62, 62, 62, 62, 62, 62, 91]",44029,"[-5.0, -3.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -4.0, -5.0, -4.0, -5.0, -4.0, -5.0, -5.0, -3.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0]",-115.0,-4.6,1800,928,-5.0,-5.0,-5.0,-4.0,-3.0
7,700,"[69, 62, 62, 72, 62, 62, 62, 78, 62, 42, 62, 76, 62, 62, 70, 62, 135, 98, 62, 62, 98, 98, 66, 98, 62, 62, 62, 62, 69, 62, 62, 62, 64, 62, 62, 62, 72, 62, 62, 62, 62, 62, 136, 62, 98, 62, 62, 62, 142, 75, 62, 62, 62, 72, 62, 54, 134, 62, 62, 98, 62, 71, 98, 98, 62, 78, 62, 62, 65, 62, 62, 55, 69, 98, 62, 62, 98, 74, 134, 76, 69, 84, 77, 62, 62, 66, 62, 54, 62, 98, 62, 62, 62, 62, 62, 62, 68, 77, 62, 75]",51197,"[-5.0, -3.0, -3.0, -5.0, -4.0, -5.0, -4.0, -4.0, -4.0, -3.0, -4.0, -4.0, -4.0, -4.0, -4.0, -4.0, -4.0, -4.0, -5.0, -4.0, -3.0, -4.0, -4.0, -4.0, -4.0]",-100.0,-4.0,2087,1000,-5.0,-4.0,-4.0,-4.0,-3.0
8,800,"[62, 98, 62, 243, 62, 62, 62, 62, 64, 62, 105, 134, 62, 62, 175, 98, 134, 62, 98, 62, 62, 62, 67, 67, 98, 73, 98, 62, 62, 178, 98, 62, 62, 62, 62, 62, 42, 63, 62, 73, 62, 48, 63, 98, 62, 39, 64, 110, 62, 62, 62, 62, 62, 98, 62, 62, 62, 62, 73, 104, 62, 62, 98, 62, 76, 62, 134, 98, 134, 62, 98, 62, 134, 134, 62, 98, 227, 62, 64, 98, 62, 68, 62, 62, 71, 98, 65, 107, 62, 68, 62, 175, 134, 62, 62, 62, 134, 98, 98, 62]",59447,"[-4.0, -4.0, -4.0, -5.0, -3.0, -5.0, -5.0, -2.0, -5.0, 0.0, -5.0, -5.0, -5.0, -3.0, -4.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -1.0, -4.0, -5.0]",-102.0,-4.08,2310,1164,-5.0,-5.0,-5.0,-4.0,0.0
9,900,"[78, 75, 98, 70, 62, 134, 62, 75, 62, 102, 71, 77, 62, 110, 62, 98, 62, 63, 76, 62, 62, 150, 62, 101, 62, 66, 62, 103, 62, 62, 62, 62, 62, 62, 62, 62, 98, 113, 62, 62, 134, 62, 111, 175, 62, 73, 98, 62, 75, 78, 68, 75, 72, 62, 78, 66, 76, 104, 62, 62, 74, 62, 62, 77, 63, 98, 70, 98, 78, 70, 62, 62, 98, 98, 69, 62, 98, 70, 62, 62, 65, 77, 114, 98, 144, 134, 62, 98, 67, 44, 74, 48, 83, 134, 98, 98, 109, 64, 62, 98]",67428,"[-5.0, -5.0, -5.0, -3.0, -5.0, -2.0, -4.0, -4.0, -3.0, -4.0, -1.0, -2.0, -1.0, -5.0, -4.0, -4.0, -3.0, -5.0, -4.0, -4.0, -5.0, -2.0, -2.0, 3.0, -4.0]",-83.0,-3.32,2522,1188,-5.0,-5.0,-4.0,-2.0,3.0
