,trainingsizes,frames,masterframes,results,result_sums,mean,qvalues,times,mini,result_q1,result_q2,result_q3,maxi
0,0,"[62, 62, 61, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 61, 62, 62, 62, 62, 60, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 60, 62, 60, 62, 60, 62, 62, 62, 56, 62, 62, 62, 62, 59, 62, 62, 62, 62, 62, 62, 59, 59, 59, 62, 62, 62, 62, 59, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 59, 62]",6153,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,467,1330,-5.0,-5.0,-5.0,-5.0,-5.0
1,100,"[62, 62, 62, 62, 62, 62, 62, 56, 63, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 58, 62, 62, 64, 62, 62, 61, 62, 62, 62, 62, 62, 62, 65, 62, 62, 65, 62, 62, 62, 62, 62, 62, 62, 62, 62, 63, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62]",12348,"[-5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-123.0,-4.92,651,835,-5.0,-5.0,-5.0,-5.0,-4.0
2,200,"[68, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 57, 62, 62, 60, 62, 62, 62, 62, 63, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 64, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 64, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 63, 62, 71, 62, 65, 62, 62, 62, 62, 62, 62, 62, 62, 67, 62, 62, 62, 62, 62, 71, 60, 62, 62, 62, 62]",18576,"[-5.0, -5.0, -4.0, -5.0, -4.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -4.0, -4.0, -4.0, -4.0, -5.0, -5.0, -5.0, -4.0, -5.0]",-116.0,-4.64,817,884,-5.0,-5.0,-5.0,-4.0,-4.0
3,300,"[62, 62, 61, 62, 62, 62, 71, 62, 62, 62, 62, 64, 62, 62, 55, 62, 67, 62, 62, 62, 62, 67, 65, 62, 62, 62, 65, 58, 62, 71, 62, 62, 62, 72, 62, 62, 62, 55, 69, 62, 62, 63, 62, 72, 62, 62, 62, 62, 62, 69, 62, 62, 62, 62, 62, 62, 77, 73, 62, 71, 98, 58, 62, 55, 62, 62, 62, 62, 69, 64, 71, 62, 68, 62, 98, 62, 62, 98, 62, 64, 62, 98, 62, 62, 62, 62, 62, 65, 62, 64, 58, 92, 62, 66, 62, 62, 63, 103, 62, 60]",25097,"[-4.0, -4.0, -4.0, -5.0, -4.0, -5.0, -5.0, -5.0, -4.0, -5.0, -4.0, -4.0, -5.0, -4.0, -4.0, -5.0, -5.0, -4.0, -5.0, -4.0, -5.0, -4.0, -5.0, -5.0, -4.0]",-112.0,-4.48,1018,1155,-5.0,-5.0,-4.0,-4.0,-4.0
4,400,"[98, 67, 62, 62, 98, 62, 62, 95, 62, 72, 69, 59, 62, 62, 62, 66, 62, 62, 67, 60, 70, 77, 62, 62, 62, 62, 97, 71, 62, 62, 62, 60, 98, 62, 98, 62, 69, 62, 53, 62, 62, 62, 62, 62, 67, 62, 62, 64, 62, 98, 59, 63, 69, 62, 66, 77, 62, 62, 62, 62, 66, 66, 62, 62, 68, 62, 62, 62, 98, 62, 62, 60, 62, 62, 78, 98, 69, 62, 62, 62, 62, 70, 62, 78, 77, 62, 98, 62, 74, 62, 62, 62, 62, 72, 62, 71, 62, 62, 62, 62]",31843,"[-5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -4.0, -5.0, -3.0, -5.0, -5.0, -4.0, -4.0]",-117.0,-4.68,1218,1232,-5.0,-5.0,-5.0,-4.0,-3.0
5,500,"[68, 62, 104, 64, 62, 62, 62, 62, 62, 62, 134, 62, 62, 98, 72, 77, 62, 62, 62, 62, 62, 62, 62, 63, 62, 61, 62, 75, 62, 51, 98, 63, 62, 61, 100, 62, 62, 62, 62, 67, 65, 68, 62, 62, 62, 88, 66, 62, 73, 62, 67, 69, 62, 62, 65, 62, 62, 62, 62, 62, 62, 67, 98, 62, 63, 65, 63, 175, 62, 62, 65, 98, 62, 62, 98, 62, 99, 98, 62, 98, 147, 62, 67, 62, 62, 175, 98, 62, 62, 113, 62, 134, 64, 62, 175, 62, 62, 62, 78, 61]",39207,"[-5.0, -4.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -3.0, -5.0, -4.0, -4.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -2.0, -4.0, -5.0, -5.0, -5.0, -5.0]",-114.0,-4.56,1436,961,-5.0,-5.0,-5.0,-4.0,-2.0
6,600,"[62, 72, 67, 62, 62, 62, 62, 211, 98, 62, 62, 76, 64, 62, 62, 90, 98, 98, 98, 123, 134, 68, 141, 97, 65, 62, 62, 62, 62, 78, 61, 73, 62, 134, 98, 93, 62, 62, 62, 98, 54, 62, 62, 75, 62, 114, 65, 68, 134, 135, 62, 68, 62, 67, 61, 62, 62, 62, 58, 70, 63, 67, 98, 134, 62, 111, 62, 62, 64, 62, 103, 62, 62, 62, 98, 68, 62, 62, 98, 62, 63, 62, 62, 59, 76, 62, 62, 74, 62, 62, 73, 62, 56, 98, 62, 71, 62, 70, 62, 62]",46807,"[-5.0, -4.0, -4.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -4.0, -4.0, -4.0, -3.0, -4.0, -5.0, -4.0, -4.0, -5.0, -5.0, -5.0]",-113.0,-4.52,1614,1128,-5.0,-5.0,-5.0,-4.0,-3.0
7,700,"[62, 134, 64, 62, 59, 67, 56, 98, 60, 66, 100, 62, 98, 62, 69, 75, 98, 52, 62, 62, 78, 62, 78, 68, 90, 134, 77, 98, 62, 62, 62, 134, 67, 98, 62, 62, 62, 62, 62, 98, 98, 72, 100, 98, 98, 98, 62, 58, 62, 176, 62, 62, 62, 62, 62, 62, 62, 98, 62, 62, 62, 134, 175, 63, 99, 134, 62, 62, 134, 62, 98, 62, 62, 62, 62, 62, 50, 52, 62, 134, 98, 134, 175, 62, 103, 48, 73, 48, 62, 134, 62, 62, 62, 62, 62, 142, 247, 56, 62, 62]",54940,"[-5.0, -4.0, -5.0, -3.0, -3.0, -5.0, -5.0, -3.0, -2.0, -3.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -3.0, -4.0, -3.0, -3.0, -5.0, -5.0, -5.0, -4.0, -4.0]",-103.0,-4.12,1867,1095,-5.0,-5.0,-4.0,-3.0,-2.0
8,800,"[99, 98, 175, 62, 114, 63, 98, 62, 62, 62, 62, 62, 62, 62, 135, 98, 98, 62, 98, 62, 64, 62, 98, 248, 62, 62, 99, 134, 135, 62, 178, 98, 134, 49, 98, 62, 67, 62, 98, 62, 62, 134, 62, 62, 66, 134, 68, 63, 62, 62, 62, 61, 62, 62, 98, 62, 62, 62, 69, 62, 98, 62, 98, 62, 134, 62, 62, 62, 49, 62, 62, 63, 62, 211, 134, 67, 175, 62, 62, 70, 63, 67, 62, 77, 62, 62, 105, 98, 104, 134, 62, 98, 62, 98, 221, 62, 62, 46, 46, 63]",63380,"[-2.0, -4.0, -2.0, -4.0, -2.0, -5.0, -5.0, -3.0, 1.0, -4.0, -4.0, -4.0, -2.0, -2.0, -4.0, -2.0, -4.0, -2.0, -3.0, -3.0, -5.0, -2.0, -3.0, -4.0, -2.0]",-76.0,-3.04,2163,1181,-5.0,-4.0,-3.0,-2.0,1.0
9,900,"[67, 141, 65, 101, 62, 134, 48, 62, 134, 134, 65, 98, 62, 62, 98, 74, 62, 62, 62, 65, 62, 146, 62, 134, 62, 103, 62, 68, 62, 62, 67, 62, 62, 109, 175, 62, 98, 62, 62, 62, 74, 139, 134, 67, 100, 149, 62, 62, 75, 62, 66, 211, 62, 62, 134, 247, 64, 64, 62, 98, 62, 62, 68, 62, 73, 98, 62, 134, 62, 62, 111, 62, 62, 62, 62, 62, 63, 62, 98, 98, 402, 73, 62, 176, 69, 105, 134, 247, 62, 98, 62, 102, 62, 65, 69, 134, 175, 98, 147, 62]",72567,"[3.0, -5.0, -4.0, -3.0, -5.0, -5.0, -4.0, -4.0, -5.0, -3.0, -3.0, -5.0, -5.0, -2.0, -3.0, -3.0, -4.0, -2.0, -3.0, -3.0, -4.0, -2.0, -5.0, -4.0, -4.0]",-87.0,-3.48,2376,1347,-5.0,-5.0,-4.0,-3.0,3.0
